ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-190,Aluno-190,2022,3,A,13.0,Menina,2022.0,Escola Pública,Ametista,7.335,10.0,6.3,6.9,6.7,8.8,,7.25,Não,0.0,,5.0,7.5,,,
RA-190,Aluno-190,2023,FASE 3,3D,14.0,Feminino,2022.0,Pública,Agata,6.934158333,5.0,5.7,9.5,7.9,2.52,7.65625,7.9575,,-1.0,,5.8,5.2,6.0,,
RA-191,ALUNO-191,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-191,ALUNO-191,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-191,Aluno-191,2022,3,A,13.0,Menino,2019.0,Rede Decisão,Topázio,8.74,10.0,7.2,9.4,10.0,8.8,,8.5,Sim,0.0,,8.0,7.2,6.3,,
RA-191,Aluno-191,2023,FASE 4,4A,14.0,Masculino,2019.0,Privada - Programa de Apadrinhamento,Ametista,7.263666667,10.0,7.8,9.7,0.0,2.52,8.125,8.4625,,0.0,,8.7,7.0,7.8,,
RA-191,Aluno-191,2024,7E,7E,15.0,Masculino,2021.0,Privada *Parcerias com Bolsa 100%,Ametista,7.7887,10.0,6.3999999999999995,9.571,7.5,5.945,7.5,7.5,,2.0,,6.0,6.9,6.3,FIAP School - SP,Cursando
RA-192,ALUNO-192,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-192,Aluno-192,2022,3,B,15.0,Menino,2021.0,Escola Pública,Quartzo,4.932,5.0,2.7,3.6,8.8,7.5,,4.708,Não,-2.0,,1.7,4.7,1.7,,
RA-192,Aluno-192,2023,FASE 4,4B,16.0,Masculino,2021.0,Privada,Agata,6.616016667,5.0,6.5,6.2,8.8,5.0,7.1875,7.3775,,-2.0,,6.0,5.8,7.8,,
RA-192,Aluno-192,2024,5B,5B,17.0,Masculino,2021.0,Privada,Agata,6.882960606066668,5.0,7.166666666666667,6.363636363666667,8.334,7.51,7.125,6.9,,-2.0,,4.0,7.5,10.0,Rede Decisão - Unidade União,Cursando
RA-193,ALUNO-193,2021,3.0,F,,,,Escola Pública,Ametista,8.215,5.0,7.7,10.0,9.2,5.6,7.9,9.6,Sim,-1.0,,,,,,
RA-193,Aluno-193,2022,3,B,12.0,Menino,2016.0,Rede Decisão,Topázio,8.155,10.0,6.7,8.9,9.2,5.6,,8.5,Sim,0.0,,5.0,6.3,8.7,,
RA-193,Aluno-193,2023,FASE 4,4A,13.0,Masculino,2016.0,Privada - Programa de Apadrinhamento,Ametista,7.718566667,10.0,6.5,9.4,8.3,2.52,8.125,8.17,,1.0,,6.0,6.3,7.3,,
RA-193,Aluno-193,2024,5C,5C,14.0,Masculino,2021.0,Privada - Programa de Apadrinhamento,Topázio,8.465046969666668,10.0,7.0,9.848484848333333,8.751,6.26,8.4375,8.7525,,1.0,,6.5,4.5,10.0,Colégio Arco Íris Evolução,Cursando
RA-194,ALUNO-194,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-194,Aluno-194,2022,3,B,14.0,Menina,2022.0,Escola Pública,Quartzo,4.265,5.0,3.2,6.2,0.0,5.0,,3.75,Não,-1.0,,3.7,5.8,0.0,,
RA-195,ALUNO-195,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-195,ALUNO-195,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-195,Aluno-195,2022,3,B,13.0,Menina,2017.0,Rede Decisão,Ametista,8.017,10.0,6.3,9.2,8.8,5.0,,8.25,Não,0.0,,6.8,6.3,5.8,,
RA-195,Aluno-195,2023,FASE 4,4A,,Feminino,2017.0,Privada - Programa de Apadrinhamento,Ametista,7.60205,10.0,6.0,9.2,7.1,2.52,8.4375,8.79,,0.0,,6.3,6.2,5.5,,
